description;label
Biorę głęboki wdech;coma
które od bólu łzami pękną;coma
Hej, hej śmiejmy się rozwalmy te budę!;czadoman
Wyświecone pod nosem;coma
jestem dziś;czadoman
bo ta impreza to nie byle co;czadoman
DJ wrzuca płytę balet rozpoczyna;czadoman
Co Blondi ze mną robi, jak jej chodzą nogi;czadoman
ja jestem twoim czadoman’en;czadoman
Na istnienie;coma
Bo to jest miłość;czadoman
Popatrz mam, mam na życie bilet;czadoman
Może zrodzi się pytanie - Czemu kocham Cię aż tak ?;coma
Czy tego chcesz czy nie chcesz,;coma
Największy stworzeń;coma
gdy jesteśmy blisko;czadoman
One, to one,;czadoman
Oto Cisza i ogień - wytchnienie mimo spraw.;coma
Na niej myśli złe i wyschnięta łza;czadoman
Jaaaaaaaaaaa;coma
Ile już lat pochłaniałem treść;coma
Czekam i czekam, a ktoś zabija ten świat;czadoman
Od wschodu wnikł.;coma
Jeżeli jesteś;coma
Klamka opadła,ktoś mi otwiera;czadoman
co tu robić Panie Boże, żeby zostać młodą?;coma
zatańcz ze mną;czadoman
Spotkać z Tobą się w realu;czadoman
Jutro nie zostanie po nim ślad;coma
Wszyscy ręce w górę;czadoman
Świetlny kształt;coma
Wskazał mi;coma
Oto Cisza i ogień - wytchnienie mimo;coma
Zwierzęta drgnęły...;coma
Co tu robić Panie Boże;coma
Mam dość tego w głowie wrzasku;czadoman
w dzień bikini, w nocy mini,;czadoman
Przed nami miesiąc grudzień,;coma
Teraz ja sam najmniejszy z was;coma
Moja bejbe, to mój cały świat;czadoman
Nic się nie zmieni.;coma
smak życia doprawić;czadoman
Śmierci się podobna stała.;coma
Że gwar szelestny;coma
Będę z tobą wobec tego szczery;coma
Za Winkelrieda krwawy trud;coma
Tętno polany;coma
w głowie mi się roi nowy plan,;czadoman
Polacy nigdy nie poddają się;czadoman
Kiedy jesteś roześmiana?! Wtedy jesteś taka kochana!;czadoman
I ciernie na głowie;coma
Przejąłem władzę;coma
Bryknął nerwowo dzik,;coma
Zwisł zza drzew.;coma
Muszę przyznać, jesteś piękna;czadoman
Jest już lato, mamy lato,;czadoman
A kto popieprzone sny moje sieje;czadoman
smak życia doprawić;czadoman
niema we mnie zła;coma
krwią cyrograf kazał mazać;coma
...na istnienie.;coma
Hej, hej bawmy się wszyscy ręce w górę;czadoman
żeby zostać z Tobą ...?;coma
a nad ranem będziesz pić Martini.;czadoman
Kiedy jesteś przy mnie blisko, pod nogami ziemia drży;czadoman
twoim Czadoman’en;czadoman
Gonię ogon tandety,;coma
Z Blondi będzie się działo;czadoman
Zaczęły przychodzić do mnie i prosić;coma
Czasu było mało na dyskusję,;coma
Grzybiarz to czy zwierz?;coma
Znowu zaczniesz żyć i uśmiechać się;czadoman
Tutaj nikt nie stoi, nudy się nie boi;czadoman
Ja jestem Superbohaterem;czadoman
